time,Lx,V,pressure,U,T,work_cum,dS_IG,delta_a,alpha,alpha_over_T,PV_gamma,T_V_gamma_minus1,impulse_events
31.1,18.47,7388,0.483815488572,4822.0607103,0.352180887401,306.597559749,1.01406142933,2.29231736481,-0.195609312926,-0.555543631639,1355890.3779,133.593001645,36
31.3,18.46,7384,0.558308015748,4824.31144821,0.352345270831,308.830791812,1.44596005414,2.74259040394,-0.491852485768,-1.39626465255,1563243.66186,133.607110638,27
31.5,18.45,7380,0.464624426689,4826.03609961,0.352471231348,310.689289519,-0.0521832702403,1.84010789176,-0.115456492577,-0.327621422654,1299758.42517,133.606601433,22
31.7,18.44,7376,0.44872767526,4827.74904159,0.352596336663,312.48420022,-0.0898224964905,1.76324523646,-0.0503032594219,-0.142690606416,1254154.48486,133.605724947,25
31.9,18.43,7372,0.424207450592,4829.32662743,0.352711556196,314.181030023,-0.47798398559,1.52826686352,0.0493189777041,0.139850916751,1184551.19788,133.601060889,23
32.1,18.42,7368,0.66607114832,4831.55618966,0.352874393052,316.845314616,1.36560828083,3.14606160085,-0.916499367508,-2.59783905415,1858246.47391,133.614386613,38
32.3,18.41,7364,0.397713740335,4833.62164572,0.353025244356,318.436169577,0.895153495337,1.90679922523,0.158656831435,0.449516682053,1108562.61504,133.62312232,24
32.5,18.4,7360,0.333938220656,4835.11581495,0.353134371527,319.77192246,-0.72770467459,1.07881505588,0.415354177568,1.17637476918,929956.182408,133.616020685,21
32.7,18.39,7356,0.417228395984,4836.99645387,0.353271724647,321.440836044,0.362308249606,1.79688196204,0.0837569562881,0.237135428875,1160851.65759,133.619556387,23
32.9,18.38,7352,0.559574250891,4839.20150255,0.353432771147,323.679133047,1.27545266742,2.68898107069,-0.483932397549,-1.36954667879,1555488.79122,133.632004046,28
33.1,18.37,7348,0.584147770774,4841.65477411,0.353611946692,326.01572413,1.97188990525,3.03369825393,-0.58042668834,-1.64183869477,1622325.40728,133.651250802,31
